Percentage data,,,,,,,,,,,,,,Raw data
Year,Staghorn coral,Boulder star coral,Sponges,Algae,Stoplight parrotfish,Queen angelfish,Yellowtail snapper,Nassau grouper,Long-spined sea urchin,Hawkbill sea turtle,Red lionfish,Crown-of-thorns starfish,,Staghorn coral,Boulder star coral,Sponges,Algae,Stoplight parrotfish,Queen angelfish,Yellowtail snapper,Nassau grouper,Long-spined sea urchin,Hawkbill sea turtle,Red lionfish,Crown-of-thorns starfish
91,118%,104%,72%,80%,245%,144%,9%,313%,62%,68%,0%,0%,,25,29,8,22,2022,778,22,150,715,17,0,0
92,119%,104%,71%,80%,246%,146%,8%,313%,59%,67%,0%,0%,,25,29,8,22,2033,786,18,150,688,17,0,0
93,120%,104%,70%,79%,248%,147%,7%,313%,57%,65%,0%,0%,,25,29,8,21,2043,792,16,150,661,16,0,0
94,121%,105%,68%,79%,249%,148%,6%,313%,55%,64%,0%,0%,,25,29,7,21,2054,797,14,150,635,16,0,0
95,122%,105%,67%,79%,250%,148%,5%,313%,53%,62%,0%,0%,,26,29,7,21,2064,800,12,150,609,16,0,0
96,123%,105%,65%,79%,251%,148%,4%,313%,50%,60%,0%,0%,,26,30,7,21,2073,801,10,150,584,15,0,0
97,123%,106%,64%,79%,252%,148%,4%,313%,48%,59%,0%,0%,,26,30,7,21,2081,801,9,150,561,15,0,0
98,124%,106%,63%,79%,253%,148%,3%,313%,46%,57%,0%,0%,,26,30,7,21,2088,799,8,150,538,14,0,0
99,124%,106%,62%,79%,254%,147%,3%,313%,45%,56%,0%,0%,,26,30,7,21,2094,796,7,150,516,14,0,0
100,125%,106%,62%,80%,254%,147%,2%,313%,43%,54%,0%,0%,,26,30,7,22,2099,791,6,150,496,14,0,0
101,125%,107%,61%,81%,255%,146%,2%,313%,41%,52%,0%,0%,,26,30,7,22,2103,786,5,150,477,13,0,0
102,125%,107%,61%,81%,255%,144%,2%,313%,40%,51%,0%,0%,,26,30,7,22,2106,780,4,150,459,13,0,0
103,125%,107%,60%,82%,255%,143%,2%,313%,38%,49%,0%,0%,,26,30,7,22,2108,773,4,150,443,12,0,0
104,125%,107%,60%,83%,256%,142%,1%,313%,37%,48%,0%,0%,,26,30,7,22,2108,766,3,150,428,12,0,0
105,125%,107%,60%,84%,255%,141%,1%,313%,36%,46%,0%,0%,,26,30,7,23,2107,759,3,150,415,12,0,0
106,124%,107%,60%,85%,255%,139%,1%,313%,35%,45%,0%,0%,,26,30,7,23,2105,753,2,150,402,11,0,0
107,124%,107%,61%,86%,255%,138%,1%,313%,34%,44%,0%,0%,,26,30,7,23,2102,747,2,150,391,11,0,0
108,123%,107%,61%,87%,254%,137%,1%,313%,33%,42%,0%,0%,,26,30,7,24,2097,741,2,150,381,11,0,0
109,122%,107%,62%,89%,254%,136%,1%,313%,32%,41%,0%,0%,,26,30,7,24,2092,737,1,150,372,10,0,0
110,122%,107%,62%,90%,253%,136%,1%,313%,31%,40%,0%,0%,,26,30,7,24,2085,733,1,150,365,10,0,0
111,121%,107%,63%,91%,252%,135%,0%,313%,31%,39%,0%,0%,,25,30,7,25,2078,731,1,150,358,10,0,0
112,120%,107%,64%,93%,251%,135%,0%,313%,30%,38%,0%,0%,,25,30,7,25,2069,730,1,150,353,9,0,0
113,119%,107%,64%,94%,250%,135%,0%,313%,30%,37%,0%,0%,,25,30,7,25,2060,730,1,150,349,9,0,0
114,118%,107%,65%,96%,249%,136%,0%,313%,30%,36%,0%,0%,,25,30,7,26,2050,732,1,150,346,9,0,0
115,117%,107%,66%,97%,247%,136%,0%,313%,30%,35%,0%,0%,,24,30,7,26,2039,735,1,150,344,9,0,0
116,115%,107%,67%,99%,246%,137%,0%,313%,30%,34%,0%,0%,,24,30,7,27,2028,739,0,150,343,8,0,0
117,114%,106%,67%,100%,244%,138%,0%,313%,30%,33%,0%,0%,,24,30,7,27,2017,745,0,150,343,8,0,0
118,113%,106%,68%,102%,243%,139%,0%,313%,30%,32%,0%,0%,,24,30,7,28,2005,752,0,150,344,8,0,0
119,112%,106%,68%,103%,242%,141%,0%,313%,30%,31%,0%,0%,,23,30,8,28,1993,759,0,150,346,8,0,0
120,110%,106%,69%,105%,240%,142%,0%,313%,30%,30%,0%,0%,,23,30,8,28,1981,768,0,150,349,8,0,0
121,109%,106%,69%,106%,239%,144%,0%,313%,30%,30%,0%,0%,,23,30,8,29,1968,778,0,150,353,7,0,0
122,108%,105%,69%,108%,237%,146%,0%,313%,31%,29%,0%,0%,,23,29,8,29,1957,788,0,150,359,7,0,0
123,107%,105%,69%,109%,236%,148%,0%,313%,32%,28%,0%,0%,,22,29,8,29,1945,798,0,150,365,7,0,0
124,106%,105%,68%,110%,234%,150%,0%,313%,32%,27%,0%,0%,,22,29,8,30,1934,807,0,150,373,7,0,0
125,105%,104%,68%,112%,233%,151%,0%,313%,33%,27%,0%,0%,,22,29,7,30,1923,817,0,150,382,7,0,0
126,104%,104%,67%,113%,232%,153%,0%,313%,34%,26%,0%,0%,,22,29,7,30,1913,825,0,150,392,7,0,0
127,103%,104%,67%,114%,231%,154%,0%,313%,35%,25%,0%,0%,,22,29,7,31,1904,833,0,150,403,6,0,0
128,102%,104%,66%,115%,230%,155%,0%,313%,36%,25%,0%,0%,,21,29,7,31,1895,839,0,150,415,6,0,0
129,102%,104%,65%,115%,229%,156%,0%,313%,37%,24%,0%,0%,,21,29,7,31,1888,844,0,150,428,6,0,0
130,101%,103%,64%,116%,228%,157%,0%,313%,38%,23%,0%,0%,,21,29,7,31,1881,848,0,150,443,6,0,0
131,101%,103%,63%,116%,227%,157%,0%,313%,39%,23%,0%,0%,,21,29,7,31,1875,849,0,150,458,6,0,0
132,100%,103%,62%,117%,227%,157%,0%,313%,41%,22%,0%,0%,,21,29,7,32,1870,849,0,150,475,6,0,0
133,100%,103%,62%,117%,226%,157%,0%,313%,42%,22%,0%,0%,,21,29,7,32,1867,848,0,150,492,5,0,0
